"STT","Message","Spam","Ads","Entertainment","App","RealEstale","Villa","Apartment","House","Lots","Financial","Bank","Card","Loans","Promotion","Harm","Scam","MoneyScam","PasswordScam","InfoScam","Virus"
"1422","Em xin phep lam viec o nha hom nay Chi nhe. Em Duong","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1474","Biết thôi nhé cụ. Các cụ ở nhà e nhờ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1475","Biết thôi nhé cụ. Các cụ ở nhà e nhờ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1478","Em xin phep lam viec o nha hom nay Chi nhe. Em Duong","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1567","Anh Minh check hộ em bên Kế toán chuyển tiền chưa với","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1582","Anh Minh check hộ em bên Kế toán chuyển tiền chưa với","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1595","Em xin phep lam viec o nha hom nay Chi nhe. Em Duong","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1783","Anh báo giá cho em chi phí cải tiến chức năng theo dõi công việc hôm trước và chi phí xây dựng mobile app nhé","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1785","Anh báo giá cho em chi phí cải tiến chức năng theo dõi công việc hôm trước và chi phí xây dựng mobile app nhé","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1823","<QC VMS2> Mobifone:Soi dong cung EURO, Tbao 0936667477 may man duoc moi quay thuong 500tr.Tham gia,soan EU gui 9209 (2000d/ngay).Tu choi,soan TC gui 9241","1","1","1","1","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0"
"2005","KS Hoa Đệ Nhất 4/1/9 Hoàng Việt - Tân Bình  gần KS Đệ nhất)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2286","KS Hoa Đệ Nhất 4/1/9 Hoàng Việt - Tân Bình  gần KS Đệ nhất)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2428","Tuyet Thanh. Pass la 0913091804 nhe.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2443","Em xin phep den muon ty chi nhe","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2458","Tuyet Thanh. Pass la 0913091804 nhe.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2498","Van a, Cau Duong ma. Cau co vo dua em dang lam ban hang, nay muon chuyen vi xa qua. Chau biet cho nao ban hang k chi no voi. No ho khau hanoi, cung biet ke toan","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2500","Van a, Cau Duong ma. Cau co vo dua em dang lam ban hang, nay muon chuyen vi xa qua. Chau biet cho nao ban hang k chi no voi. No ho khau hanoi, cung biet ke toan","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2560","Kha nang la cai vu bo sung luong theo ""Phu cap"" cua minh dc roi day","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2561","Kha nang la cai vu bo sung luong theo ""Phu cap"" cua minh dc roi day","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","Sở hữu ngay SIM như ý từ kho số khủng 50 triệu số Đẹp – Lộc – Phát đầu 08 của VinaPhone. Chọn số nhanh nhất tại: http://chonso.vinaphone.com.vn .Chi tiết LH 18001091.","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","VinaPhone MIỄN PHÍ cập nhật danh bạ SĐT 11 số sang 10 số nhanh chóng, bảo mật, cho TB mọi mạng tại https://myvnpt.page.link/dl . QK không nên chuyển đổi bằng ứng dụng trôi nổi, tránh ảnh hưởng thông tin cá nhân. Danh bạ nên cập nhật sau ngày 7/10 khi các mạng hoàn tất","1","1","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"3","(VINAPHONE PLUS) NHẬN NGAY GÓI CƯỚC hấp dẫn khi TẢI/CHIA SẺ ứng dụng VinaPhone Plus. Vui lòng tải ứng dụng tại https://goo.gl/R8XfiZ (IOS) và https://goo.gl/mbujJw (Android). Chi tiết liên hệ 18001091. Trân trọng cảm ơn!","1","1","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"4","(VINAPHONE PLUS) Quý Hội viên khi có thể sử dụng ĐIỂM VPOINT tích lũy được để THANH TOÁN CƯỚC cho thuê bao trả sau/NẠP TIỀN thuê bao trả trước cho chính mình hoặc bạn bè, người thân. Hội viên truy cập http://cskh.vinaphone.vn/#/main/thanhtoan hoặc ứng dụng VinaPhone Plus để sử dụng ưu đãi. Liên hệ CSKH 18001091 để được giải đáp. Trân trọng cảm ơn!","1","1","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"5","(TB)Ngày vàng EZPay: VinaPhone TẶNG NGAY 50% giá trị tiền nạp khi thuê bao thanh toán cước di động trả sau bằng thẻ cào trong ngày mai (12/10/2018), giá trị khuyến mại dùng để gọi/nhắn tin. Soạn EZPay gửi 9888 (miễn phí) để đăng ký dịch vụ. Chi tiết liên hệ 18001091 (miễn phí)","1","1","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"6","Bo TTTT, Bo LDTB&XH, UBTW MTTQVN van dong dong gop vi nguoi ngheo qua tin nhan. Quy vi ung ho nguoi ngheo, hay soan: VNN gui 1409. Moi tin nhan Quy vi dong gop 20.000d vi nguoi ngheo, khong gioi han so luong tin nhan. Dien thoai ho tro 19001530. Website: 1400.vn. Tran trong cam on","1","1","0","1","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0"
"7","VNPT:Thanh toan cuoc VNPT tai Ha Noi qua ngan hang Vietinbank: Tang den 15% gia tri hoa don. De biet doi tuong va uu dai chi tiet, xin lien he: 024800126.De tu choi nhan tin, soan TC gui 024800126.","1","1","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"8","(TB) Mua ứng dụng trên Google Play qua tài khoản VinaPhone không cần thẻ tín dụng, thao tác nhanh chóng như xếp kẹo trong trò chơi Candy Crush Friends Saga - phiên bản đồ họa 3D mới nhất vô cùng bắt mắt. Trải ngiệm ngay tại https://goo.gl/rArACQ. Chi tiết LH 18001091 (0đ)","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9","(QC) TANG NGAY 5.000d vao TAI KHOAN CHINH tu CHUONG TRINH KHUYEN MAI TANG TIEN cho TB MAY MAN cua DV Gameshow(Duy tri sau 4 ngay). Soan: DK gui 9799 (0d) MIEN PHI 3G/4G toc do cao trai nghiem http://gameshows.vn.sau KM 3000d/ngay. LH 02473000027. TCQC: TC gui 9799","1","1","0","1","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0"
"10","(QC) TANG NGAY 5.000d vao TAI KHOAN CHINH tu CHUONG TRINH KHUYEN MAI TANG TIEN cho TB MAY MAN cua DV Gameshow(Duy tri sau 4 ngay). Soan: DK gui 9799 (0d) MIEN PHI 3G/4G toc do cao trai nghiem http://gameshows.vn.sau KM 3000d/ngay. LH 02473000027. TCQC: TC gui 9799","1","1","0","1","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0"
"11","(QC VMA2) Mung 20/10,Genviet giam 10% toan bo SP & giam them 200000d cho hoa don 1trieu toan he thong tu 18-24/10. LH: genviet.com .Tu choi QC soan TC gui 1551","1","1","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"12","(VINAPHONE PLUS) QUÀ TẶNG ĐẶC BIỆT TRÊN ỨNG DỤNG VINAPHONE PLUS - Tặng e-voucher mua hàng tại CANIFA trị giá 50.000 đ cho Hội viên VinaPhone Plus. Hội viên truy cập ứng dụng VinaPhone Plus để nhận ưu đãi. Link tải ứng dụng: https://goo.gl/R8XfiZ (IOS) và  https://goo.gl/mbujJw (Android). Chương trình áp dụng đến 30/11/2018. Chi tiết liên hệ 18001091 (miễn phí). Trân trọng cảm ơn!","1","1","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"13","Chuc mung quy khach da may man trung thuong 1 xe may SH tri gia 150trieu.Quy khach lien he tong dai 0466808958 de lam thu tuc nhan giai.","1","1","0","1","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0"
"14","(QC VMA2) CANIFA- DONG GIA 49-99K hang ngan san pham Thu Dong (25-28/10) tai 247 Ho Tung Mau, 554 Nguyen Van Cu, 24 Hoang Quoc Viet. LH: 18006061 (0d).Tu choi QC soan TC gui 1551","1","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"15","[VNM] BI MAT 1NGAY DANH TANG TB: 841867144946
""1 chut am ap cho nguoi dang doc tin nhan nay""
DE NHAN DIEU BI MAT MIEN PHI
=>SOAN: TM GUI: 949
CHUC BAN HANH PH","1","1","0","1","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0"
"16","Chuc mung ban da dang ky thanh cong chuong trinh ""50MB mien phi moi ngay"". Vietnamobile se cong 50MB vao tai khoan du lieu cua quy khach. Hay tan huong toc do Internet tren di dong tuyet voi cua Vietnamobile. Xin cam on!","1","1","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"17","X_7731: SIEU CAU XS
+H.qua 14/7 TRUNG TO DB con 4, cap lo 34-35
+X thuc hien dung CAM KET
+Hom nay vao dinh CAU
De cung CHIEN THANG:
=>Soan: X gui 7731","1","1","0","1","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0"
"18","BG xem dongda mat het.Buon qua. da ngo loi kban voi chu nhan SDT 01867144946 loi nhan: ""nho lien lac voi minh nha..""
+De chia buon voi minh
=>Soan: BG gui 7724","1","1","0","1","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0"
"19","Ban Thu Ha (17t) da ngo loi ket ban voi chu nhan SDT 01867144946 voi loi nhan: ""Ket ban de co mot mua he that vui nhe..""
+De xac nhan voi Ha
=>Soan: HA gui 7724","1","1","0","1","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0"
"20","Ban Luu Khanh Ly (18t) da ngo loi ket ban voi chu nhan SDT 01867144946 voi loi nhan: ""lam ban voi Ly nha!""
+De xac nhan voi Ly:
=>Soan tin: LY gui 7731","1","1","0","1","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0"
"21","10 TY DONG phan chia cho tat ca khach hang goi va nhan tin den 27/8/2014. Goi, nhan tin cang nhieu, phan chia cang lon. Soan DK gui 511 (MIEN PHI) de tham gia ngay hom nay. TDHT 789","1","1","0","1","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0"
"22","Tang 150.000d khi Quy khach thuc hien 1 cuoc goi toi thieu 10 phut duoc tinh cuoc thong thuong ngay hom nay. Khuyen mai se duoc cong vao ngay 26/08, su dung noi mang. TDHT 789.","1","1","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"23","Quy khach soan tin DK D10 gui 345 de duoc su dung 80MB du lieu trong 30 ngay chi voi 10.000d. TDHT 789. Tu choi QC dich vu, soan TCDV gui 123","1","1","0","1","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0"
"24","Khuyen mai nap the: Tu 22-24/8, tang ngay 150% gia tri the nap (100% lien mang, 50% noi mang) khi nap the tu 50.000d tro len; Tang 100% khi nap the 20.000-49.000d. Ap dung cho khach hang nhan duoc tin nhan nay. Lien he 789 de biet dia diem nap the gan nhat.","1","1","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"25","Khuyen mai nap the: Tu 22-24/8, tang ngay 150% gia tri the nap (100% lien mang, 50% noi mang) khi nap the tu 50.000d tro len; Tang 100% khi nap the 20.000-49.000d. Ap dung cho khach hang nhan duoc tin nhan nay. Lien he 789 de biet dia diem nap the gan nhat.","1","1","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"26","Giam 25% cho 10 chuyen toi da 30000d! Kich hoat Uu Dai trong ung dung hoac nhap ma KM ridetvlo89. Ap dung cho yUBX, yUBBLACK  & SUV. t.yUB.com/offer","1","1","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"27","Giam 25% cho 10 chuyen toi da 12000d! Kich hoat Uu+Dai trong ung dung hoac nhap ma KM ridewccdl1. Ap dung cho  MOTO. t. .com/offer","1","1","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"28","Giam 25000d cho 10 chuyen tiep theo! Kich hoat Uu Dai trong ung dung hoac nhap ma KM ridebe59gt. Ap dung cho 'UBER'MOTO. t.'UBER'.com/offer","1","1","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"29","Khang A Rùa vua gui 1 Voice Sticker ‘Zoooo U23 Viet Nam!’ cho ban qua Mocha. Cai dat Mocha tai http://mocha.com.vn/app de hoa cung tinh than Bong da ruc chay! Duy nhat tren Mocha: xem livestream Chung ket Viet Nam – Uzbekistan MIEN CUOC 3G/4G TOC DO CAO NHAT.","1","1","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"30","Khang A Rùa vua gui 1 Voice Sticker ‘Zoooo U23 Viet Nam!’ cho ban qua Mocha. Cai dat Mocha tai http://mocha.com.vn/app de hoa cung tinh than Bong da ruc chay! Duy nhat tren Mocha: xem livestream Chung ket Viet Nam – Uzbekistan MIEN CUOC 3G/4G TOC DO CAO NHAT.","1","1","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"31","Khang A Rùa vua gui 1 Voice Sticker ‘Corgi Tuat tang hoa’ cho ban qua Mocha. Cai dat Mocha tai http://mocha.com.vn/app de cam on Khang A Rùa va gui tin nhan SMS noi mang Viettel 100% mien phi nhe!","1","1","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"32","Quy khach co 20008 dong trong tai khoan. De biet cac CT Cham soc Khach hang danh rieng cho Quy khach, vui long bam goi *098#. Chi tiet LH 198 (mien phi). Tran trong.","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"33","Quy khach co 61739 dong trong tai khoan. De biet cac CT Cham soc Khach hang danh rieng cho Quy khach, vui long bam goi *098#. Chi tiet LH 198 (mien phi). Tran trong.","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"34","Viettel TB: DV Data se duoc gia han trong khoang 0-5h 12/05/2017. Khi goi MIMAXSV duoc gia han dung ngay (50.000d/30 ngay), luu luong cu duoc bao luu (toi da 200MB). LH 198 (mien phi). Tran trong.","1","1","1","1","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0"
"35","3 Cay Online, Tai MIEN PHI, tang ngay 50k Tai Khoan Game:
http://dl.waptretho.vn/b/kd7/3cayonline.jar","1","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1"
"36","Quy khach co 50746 dong trong tai khoan. De biet cac CT Cham soc Khach hang danh rieng cho Quy khach, vui long bam goi *098#. Chi tiet LH 198 (mien phi). Tran trong.","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"37","Quy khach co 83246 dong trong tai khoan. De biet cac CT Cham soc Khach hang danh rieng cho Quy khach, vui long bam goi *098#. Chi tiet LH 198 (mien phi). Tran trong.","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"38","Viettel TB: DV Data se duoc gia han trong khoang 0-5h 02/09/2017. Khi goi MIMAXSV duoc gia han dung ngay (50.000d/30 ngay), luu luong cu duoc bao luu (toi da 200MB). LH 198 (mien phi). Tran trong.","1","1","0","1","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0"
"39","[TB] DV Loi nhan thoai cua Viettel: Quy khach co loi nhan moi tu TB 0973775257 vao luc 14:14 20/02/2018. Voi noi dung: Về chưa vậy Ở đâu vậy Alô. De nghe loi nhan thoai, vui long bam goi 16201 (mien phi).","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"40","[TB] DV Loi nhan thoai cua Viettel: Quy khach co cuoc goi nho tu TB 0973775257 vao luc 14:17 20/02/18.","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"41","Huong ung dot van dong ca nuoc chung tay vi nguoi ngheo cua Bo Thong tin va Truyen  thong, Quy khach soan VNN gui 1408 de giup do nguoi co hoan canh kho khan 20.000d/tin. Phi gui 300d/tin. CT ap dung den 24h ngay 31/12/2017. Tran trong.","1","1","0","1","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0"
"42","Tu 0h00 ngay 16/8/2017, ngung phat song truyen hinh tuong tu (Analog) tai Bac Giang, Nam Dinh, Ninh Binh, Phu Tho, Thai Binh, Thai Nguyen, Quang Ninh. Cac kenh truyen hinh tuong tu mat dat duoc chuyen sang phat tren he thong truyen hinh ky thuat so. Chi tiet truy cap http://www.sohoatruyenhinh.vn hoac LH 19001559 (1.000d/p). Tran trong.","1","1","0","1","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0"
"43","[QC] Co 550sms noi mang, goi noi mang 200d/p, goi ngoai mang 990d/p chi 3.000d/ngay. Tham gia, soan DKG gui 109. Ap dung cho TB nhan duoc tin nhan. Chi tiet goi 197 bam 611. Tu choi QC, soan TC2 gui 199.","1","1","0","1","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0"
"44","[QC] Co 1.000p goi noi mang va 750MB Data chi voi 110.000d/30 ngay. Dang ky, soan DT100 gui 109 (gia han sau 30 ngay). Ap dung cho TB nhan duoc tin nhan. Chi tiet goi 197 bam phim 663 (0d). Tu choi QC, soan TC2 gui 199.","1","1","0","1","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0"
"45","Viettel kinh chuc Quy khach ngay sinh nhat vui ve, dam am ben nguoi than va gia dinh. Tran trong cam on Quy khach da su dung dich vu cua Viettel.","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"46","[QC] Khuyen mai dac biet cho TB Sinh vien: Truy cap internet KHONG GIOI HAN voi 6GB toc do cao (3GB su dung tat ca khung gio trong ngay, 3GB dung tu 23h - 6h). Dang ky, soan OMG gui 191 hoac bam goi *098*070#. Phi DV 70.000d/30 ngay. DV gia han sau 30 ngay va danh rieng cho thue bao nhan duoc tin nhan. Chi tiet goi 198 (0d). Tu choi QC, soan TC2 gui 199.","1","1","0","1","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0"
"47","[QC] Khuyen mai dac biet cho TB Sinh vien: Truy cap internet KHONG GIOI HAN voi 6GB toc do cao (3GB su dung tat ca khung gio trong ngay, 3GB dung tu 23h - 6h). Dang ky, soan OMG gui 191 hoac bam goi *098*070#. Phi DV 70.000d/30 ngay. DV gia han sau 30 ngay va danh rieng cho thue bao nhan duoc tin nhan. Chi tiet goi 198 (0d). Tu choi QC, soan TC2 gui 199.","1","1","0","1","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0"
"48","(VMS2)QK du dieu kien vay tien mat den 50trieuVND, tra gop tu 573.000d/thang. Soan V FEC gui 9396 (0d) de dang ky ngay! Uu dai khong co gia tri chuyen nhuong. Tu choi quang cao tu FECREDIT, soan TC FECREDIT gui 9241.","1","1","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"49","Thong bao: Viettel tang Ban 50 phut goi noi mang mien phi. Moi Ban cai Mocha de thuc hien goi Call out mien phi tai http://mocha.com.vn/call","1","1","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"50","81173301 la ma xac thuc cua Quy khach khi Dang ky/ Lay mat khau tren ung dung My Viettel. Chi tiet LH 18008098 (0d) hoac truy cap https://viettel.vn/app.","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"51","38412263 la ma xac thuc cua Quy khach khi Dang ky/ Lay mat khau tren ung dung My Viettel. Chi tiet LH 18008098 (0d) hoac truy cap https://viettel.vn/app.","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"52","Huong ung chuong trinh ""Vi dong bao vung lu"" cua Trung uong Hoi chu thap do. Quy khach hay soan UH gui 1409 de ho tro cac gia dinh bi anh huong nang ne boi mua lu thuoc cac tinh mien nui phia Bac 20.000d/tin. Phi gui: 300d/tin. CT ap dung den 24h ngay 07/10/2017. Tran trong.","1","1","0","1","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0"
"53","[TB] VIETTEL FREE WIFI: 1-4/9, Viettel cung cap mien phi DV Wifi tai BEN XE NUOC NGAM. Bat Wifi, chon VIETTEL FREE WIFI va lam theo huong dan. LH 198 (0d).","1","1","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"54","[TB] Tu ngay 15/10/2017, Viettel ap dung thu phi tin nhan kich hoat ung dung iMessage va Facetime tren cac thiet bi Apple voi gia 2.500d/tin (cuoc tin nhan quoc te gui den dau so cua Apple tai Anh +44). Tin nhan kich hoat chi phat sinh tai thoi diem Quy khach thuc hien bat ON ung dung trong phan cai dat tren thiet bi, khong phat sinh khi bat/tat may hoac mat ket noi Internet... Chi tiet goi 197 bam phim 816 (0d). Tran trong.","1","1","0","1","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0"
"55","[TB] Quy khach duoc KM tang 50% gia tri the nap khi TK goc cua Quy khach <=2.000d. CT ap dung trong thang hien tai. Luu y: tai 1 thoi diem Quy khach chi duoc tham gia 1 CTKM nap the va khong ap dung voi KM nap the tang Data.","1","1","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"56","Viettel kinh chuc Quy khach Giang sinh an lanh va Nam moi hanh phuc. Tran trong cam on Quy khach da tin tuong su dung dich vu cua Viettel.","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"57","Nhan dip Xuan Mau Tuat 2018, Viettel kinh chuc Quy khach va gia dinh mot nam moi Van su nhu y - An khang - Thinh vuong. Tran trong cam on Quy khach da tin tuong, su dung dich vu cua Viettel trong suot thoi gian qua.","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"58","[QC] Xem truc tiep tran Chung ket U23 Viet Nam - Uzbekistan tren ung dung Mocha vao luc 15h ngay 27/1 HOAN TOAN MIEN PHI TRUY CAP DATA. Ngoai ra, moi Quy khach xem 100 clip bong da cuong nhiet nhat, gui tin nhan noi mang, goi dien khong gioi han den 1 so noi mang tren Mocha. Hay cai ung dung tai http://mocha.com.vn/app . Uu dai dac biet danh rieng cho thue bao HSSV. Chi tiet LH 198 (0d). Tu choi QC, soan TC4 gui 199.","1","1","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"59","[QC] MIEN HOAN TOAN CUOC truy cap Data 3G/4G khi xem hang ngan PHIM hanh dong Au My, phim bom tan Chau A: Han Quoc, Trung Quoc... moi nhat, hay nhat voi DV ViettelTV. Truy cap http://vietteltv.vn de dang ky va su dung. Phi DV 3.000d/ngay, gia han hang ngay. Chi tiet goi 197 bam phim 858 (0d). Tu choi QC, soan TC3 gui 199.","1","1","0","1","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0"
"60","Chuc mung Quy khach da so huu the KHTT VinID va huong uu dai 2%-25% tai hon 1000 diem KD cua TD Vingroup. Chi tiet LH 19006959 hoac www.vinid.net","1","1","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"61","GOI 1 DUOC 3. Voi mot phut goi tru phi thong thuong (1,500d/phut), Quy khach se duoc hoan tra 3 lan tuong duong 4,500d, dung goi noi mang. Khong ap dung voi phut goi tu TKNM. Khuyen mai duoc cong sau 2 ngay. LH 789 (300d/phut).","1","1","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0"
